sl_id,sl_store,sl_address,sl_address2,sl_city,sl_state,sl_zip,sl_country,sl_latitude,sl_longitude,sl_tags,sl_description,sl_email,sl_url,sl_hours,sl_phone,sl_fax,sl_image
,Office of the City Clerk&#44; Gale,5430 W. Gale St,,Chicago,IL,60630,United States,41.970408,-87.764341,City Vehicle Stickers: P/LP/S/ST&#44; Large Truck Vehicle Stickers: LT&#44; Antique Vehicle Tags&#44; Motorcycle Tags&#44; Transfer or Replacement Stickers&#44; Daily Residential Parking Permits,,,,Mon - Fri: 9am - 5pm&lt;br /&gt;&lt;a href=http://chicityclerk.com/office-info/office-locations/&quot; target=&quot;&quot;_blank&quot;&quot;&gt;View Special Saturday/Sunday Hours&lt;/a&gt;&quot;&quot;&quot;,312-742-5318,,
,Office of the City Clerk&#44; City Hall,121 N. LaSalle St,107,Chicago,IL,60602,United States,41.8838519,-87.6320614,City Vehicle Stickers: P/LP/S/ST&#44; Large Truck Vehicle Stickers: LT&#44; Antique Vehicle Tags&#44; Motorcycle Tags&#44; Transfer or Replacement Stickers&#44; Daily Residential Parking Permits,,,,Mon - Fri: 8am - 5pm&#44; Sat - Sun: Closed.,312-742-5375,,
,16th & Pulaski ,1559 S Pulaski Rd ,,Chicago,IL ,60623,United States,41.8594509,-87.7249492,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 762-3597,(773) 762-4701,
,26th & Austin ,2542 S Austin Blvd ,,Cicero,IL ,60804,United States,41.8438331,-87.7738195,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(708) 780-6274,(708) 780-6488,
,31st & Pulaski ,3101 S Pulaski Rd ,,Chicago,IL ,60623,United States,41.836625,-87.723989,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 247-9090,(773) 247-9592,
,Central & Chicago ,5601 W Chicago Ave ,,Chicago,IL ,60651,United States,41.894661,-87.765653,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 378-8903,(773) 378-8904,
,Central Milwaukee ,5306 N. Milwaukee,,Chicago,IL ,60630,United States,41.9766056,-87.7688492,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 763-6934,(773) 763-7284,
,Cermak & Central ,5608 W Cermak Rd ,,CIcero,IL ,60804,United States,41.851365,-87.764383,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(708) 863-6500,(708) 863-6594,
,Cermak & Cicero ,6348 W Cermak Rd ,,Berwyn,IL ,60402,United States,41.8507891,-87.7826462,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(708) 484-8440,(708) 484-8445,
,Cermak & Ridgeland ,4801 W Cermak Rd ,,Cicero,IL ,60804,United States,41.8509249,-87.744511,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(708) 652-0998,(708) 652-1024,
,Chicago & Cicero ,5135 W Chicago Ave ,,Chicago,IL ,60651,United States,41.894703,-87.754535,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 287-1438,(773) 287-5227,
,Chicago & Laramie ,759 N Cicero Ave ,,Chicago,IL ,60644,United States,41.894781,-87.745425,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 261-6849,(773) 261-3543,
,Cicero & 47th ,4715 S. Cicero Ave,,Chicago,IL,60632,United States,41.807168,-87.742766,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 585-1900,(773) 585-9742,
,Cicero & Archer ,5354 1/2 S. Archer Rd ,,Chicago,IL ,60632,United States,41.7988256,-87.7422377,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 735-4420,(773) 735-7701,
,Continental ,2241 S Pulaski Rd ,,Chicago,IL ,60623,United States,41.8500654,-87.724689,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 522-0990,(773) 522-4680,
,Cottage & 83rd ,8258 S Cottage,,Chicago,IL ,60619,United States,41.7444423,-87.6051295,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 487-0400,(773) 487-5641,
,Devon & Clark ,6301 N Clark St ,,Chicago,IL ,60660,United States,41.9965868,-87.6698134,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 743-3400,(773) 743-6630,
,Devon & Western ,2400 W Devon Ave ,,Chicago,IL ,60659,United States,41.9978616,-87.6903041,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(773) 274-2600,(773) 274-2655,
,Devon Financial Services,172A W Madison,,Chicago,IL,60602,United States,41.8821868,-87.6332411,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(312) 782-8419,(312) 782-8425,
,Homewood ,807 Maple Ave ,,Homewood,IL ,60430,United States,41.5668267,-87.6368781,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,,Please call for hours,(708) 799-5505,(708) 799-7372,
