Store Name,Add 1,Add 2,City,State,Zip,Country,Tags,Description,URL,Hours,Phone,Email,Image,Fax,Lat,Long
"Office of the City Clerk, City Hall",121 N. LaSalle St,107,Chicago,IL,60602,United States,"City Vehicle Stickers: P/LP/S/ST, Large Truck Vehicle Stickers: LT, Antique Vehicle Tags, Motorcycle Tags, Transfer or Replacement Stickers, Daily Residential Parking Permits",,,"Mon - Fri: 8am - 5pm, Sat - Sun: Closed.",312-742-5375,,,,,
"Office of the City Clerk, Gale",5430 W. Gale St,,Chicago,IL,60630,United States,"City Vehicle Stickers: P/LP/S/ST, Large Truck Vehicle Stickers: LT, Antique Vehicle Tags, Motorcycle Tags, Transfer or Replacement Stickers, Daily Residential Parking Permits",,,"Mon - Fri: 9am - 5pm<br /><a href=\http://chicityclerk.com/office-info/office-locations/\"" target=\""_blank\"">View Special Saturday/Sunday Hours</a>""",312-742-5318,,,,41.969917,-87.764549
"Office of the City Clerk, Archer",5674 S. Archer Ave,,Chicago,IL,60638,United States,"City Vehicle Stickers: P/LP/S/ST, Large Truck Vehicle Stickers: LT, Antique Vehicle Tags, Motorcycle Tags, Transfer or Replacement Stickers, Daily Residential Parking Permits",,,"Mon - Fri: 9am - 5pm<br /><a href=\http://chicityclerk.com/office-info/office-locations/\"" target=\""_blank\"">View Special Saturday/Sunday Hours</a>""",312-745-1100,,,,41.797157,-87.753029
Chicago Department of Finance Office,4770 S. Kedzie Blvd,,Chicago,IL,60632,United States,City Vehicle Stickers: P/LP/S/ST,,,Mon - Fri: 8am - 6:30pm<br />Sat: Closed<br />Sun: Closed,Phone number not available,,,,41.806381,-87.703926
Chicago Department of Finance Office,2006 E. 95th St,,Chicago,IL,60617,United States,City Vehicle Stickers: P/LP/S/ST,,,Mon - Fri: 8am - 6:30pm<br />Sat: Closed<br />Sun: Closed,Phone number not available,,,,41.722492,-87.575165
Chicago Department of Finance Office,2550 W. Addison St,,Chicago,IL,60618,United States,City Vehicle Stickers: P/LP/S/ST,,,Mon - Fri: 8am - 6:30pm<br />Sat: Closed<br />Sun: Closed,Phone number not available,,,,41.946724,-87.692444
Chicago Department of Finance Office,400 W. Superior St,,Chicago,IL,60654,United States,City Vehicle Stickers: P/LP/S/ST,,,Mon - Fri: 8am - 4:30pm<br />Sat: 8am - 3:30pm<br />Sun: Closed,Phone number not available,,,,41.895519,-87.638702
Currency Exchange,1646 W. Van Buren St,,Chicago,IL,60612,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,312-226-3090,,,,41.876331,-87.668251
Currency Exchange,8263 W. Belmont Ave,,River Grove,IL,60171,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,708-453-1120,,,,41.937645,-87.831924
Suburban Bank and Trust Chicago Branch,9901 S. Western Ave,,Chicago,IL,60643,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-987-3230,,,,41.713516,-87.681816
Currency Exchange,6714 S. Stony Island Ave,,Chicago,IL,60649,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-363-0207,,,,41.772984,-87.586258
Currency Exchange,1625 N. Mannheim Rd,,Stone Park,IL,60165,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,708-345-3433,,,,41.901352,-87.883736
State Bank Countyside,3323 N. Clark St Chicago,,Chicago,IL,60657,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-755-2500,,,,41.942287,-87.652435
Signature Bank,6400 N. Northwest Highway,,Chicago,IL,60631,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-467-5600,,,,41.99678,-87.806473
Signature Bank,191 N. Wacker Chicago,,Chicago,IL,60606,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,312-506-3404,,,,41.885517,-87.636841
Currency Exchange,83 W. Sibley Blvd,,South Holland,IL,60473,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,708-339-6888,,,,41.62265,-87.619049
Currency Exchange,15010 Michigan City,,Dolton,IL,60419,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,708-841-3130,,,,41.623154,-87.582901
Currency Exchange,5056 North Sheridan Rd,,Chicago,IL,60640,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-561-5013,,,,41.974667,-87.654991
Second Federal Savings and Loan,4281 S. Archer Ave,,Chicago,IL,60632,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-247-2220,,,,41.815678,-87.701645
Second Federal Savings and Loan,3960 W. 26th St,,Chicago,IL,60623,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-277-8500,,,,41.844288,-87.723892
Seaway Bank & Trust,645 E. 87th St,,Chicago,IL,60619,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-602-4000,,,,41.736607,-87.608185
Seaway Bank & Trust,11116 S. Michigan Ave,,Chicago,IL,60628,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-660-8950,,,,41.692112,-87.621025
Seaway Bank & Trust,3501 S. Martin Luther King Drive,,Chicago,IL,60653,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-624-7350,,,,41.831013,-87.61731
Currency Exchange,8063 S. Cicero Ave,,Chicago,IL,60652,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-767-2965,,,,41.746193,-87.741241
Currency Exchange,9452 Irving Park Rd,,Schiller Park,IL,60176,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,847-678-5277,,,,41.95446,-87.863243
Currency Exchange,1143 S. Western Ave,,Chicago,IL,60612,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,312-666-7909,,,,41.867271,-87.685982
Currency Exchange,2806 W. Roosevelt Rd,,Chicago,IL,60612,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-533-0600,,,,41.866543,-87.696159
Currency Exchange,334-36 S. Mannheim Rd,,Hillside,IL,60162,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,708-544-1801,,,,41.864185,-87.88253
Currency Exchange,20518 N. Milwaukee Ave,,Deerfield,IL,60015,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,847-459-9800,,,,42.161057,-87.919205
Currency Exchange,3720 W. Sauk Trail,,Richton Park,IL,60471,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,708-481-4510,,,,41.484348,-87.705521
Pollux LLC,9641 W. Grand Ave,,Franklin Park,IL,60131,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,847-451-9060,,,,41.929737,-87.866608
Currency Exchange,6043 N. Cicero Ave,,Chicago,IL,60646,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-777-4140,,,,41.991062,-87.748299
Currency Exchange,101 W. Grand Ave,,Bensenville,IL,60106,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,630-595-0777,,,,41.931309,-87.942307
Currency Exchange,6165 N. Broadway St,,Chicago,IL,60660,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-262-2351,,,,41.994034,-87.660385
Currency Exchange,832 W. Fullerton Ave,,Chicago,IL,60614,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-549-0340,,,,41.925457,-87.650101
Currency Exchange,11932 S. Halsted St,,Chicago,IL,60628,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-785-3141,,,,41.677151,-87.641953
Currency Exchange,6903 S. Halsted St,,Chicago,IL,60621,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-224-5459,,,,41.768597,-87.644485
Currency Exchange,7519 N. Milwaukee Ave,,Niles,IL,60714,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,847-647-8366,,,,42.017529,-87.806267
Currency Exchange,5739 S. Harlem Ave,,Chicago,IL,60638,United States,City Vehicle Stickers: P/LP/S/ST,Addional $5.50 Service Fee,,Please call for hours.,773-586-2134,,,,41.787582,-87.801338
